,ID,CNT_CHILDREN,AMT_INCOME_TOTAL,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,TARGET,CODE_GENDER_M
256,5009080,0,112500.0,-3173,1,0,0,1,1,0
259,5009084,0,90000.0,-5730,1,0,0,0,0,1
263,5009089,2,202500.0,-2989,1,0,0,0,0,1
266,5009090,0,247500.0,-4025,1,0,0,0,0,1
267,5009092,1,765000.0,-1194,1,1,0,0,0,1
268,5009094,1,765000.0,-1194,1,1,0,0,0,1
269,5009095,1,765000.0,-1194,1,1,0,0,0,1
271,5009096,1,270000.0,-4391,1,0,0,1,1,0
273,5009098,1,270000.0,-4391,1,0,0,1,1,0
275,5009100,0,315000.0,-555,1,0,0,0,1,0
276,5009103,2,157500.0,-4056,1,0,1,0,1,1
277,5009104,2,157500.0,-4056,1,0,1,0,1,1
278,5009105,2,157500.0,-4056,1,0,1,0,1,1
279,5009106,2,157500.0,-4056,1,0,1,0,1,1
280,5112876,2,157500.0,-4056,1,0,1,0,1,1
281,5009108,0,360000.0,-2747,1,0,0,0,0,1
282,5009109,0,360000.0,-2747,1,0,0,0,1,1
283,5009110,0,112500.0,-312,1,0,0,1,0,0
285,5009117,0,157500.0,-432,1,0,0,0,1,0
289,5009123,0,157500.0,-432,1,0,0,0,1,0
291,5009125,0,157500.0,-432,1,0,0,0,1,0
293,5009127,0,157500.0,-432,1,0,0,0,1,0
295,5009129,0,157500.0,-432,1,0,0,0,1,0
296,5009130,0,157500.0,-432,1,0,0,0,1,0
299,5009133,0,382500.0,365243,1,0,0,0,1,1
300,5009134,0,382500.0,365243,1,0,0,0,1,1
302,5009136,0,382500.0,365243,1,0,0,0,1,1
305,5009139,0,382500.0,365243,1,0,0,0,1,1
307,5009141,0,135000.0,-1560,1,1,1,0,1,0
308,5009142,0,135000.0,-1560,1,1,1,0,1,0
309,5009143,0,225000.0,365243,1,0,0,0,1,1
313,5009147,0,315000.0,-3720,1,1,1,0,1,1
314,5009149,0,315000.0,-3720,1,1,1,0,1,1
315,5009150,0,315000.0,-3720,1,1,1,0,1,1
318,5009151,0,180000.0,-2901,1,0,0,0,1,0
319,5009152,0,180000.0,-2901,1,0,0,0,1,0
321,5009154,0,180000.0,-2901,1,0,0,0,1,0
322,5009155,0,180000.0,-2901,1,0,0,0,1,0
323,5009156,0,180000.0,-2901,1,0,0,0,1,0
325,5009158,0,180000.0,-2901,1,0,0,0,1,0
326,5009159,0,180000.0,-2901,1,0,0,0,1,0
327,5009160,0,180000.0,-2901,1,0,0,0,1,0
328,5009161,0,180000.0,-2901,1,0,0,0,1,0
330,5009163,0,157500.0,-3174,1,0,1,0,0,0
333,5009166,0,157500.0,-3174,1,0,1,0,0,0
337,5009177,0,229500.0,-1256,1,0,0,0,1,1
338,5009178,0,229500.0,-1256,1,0,0,0,0,1
340,5009180,0,229500.0,-1256,1,0,0,0,1,1
341,5009181,0,229500.0,-1256,1,0,0,0,0,1
342,5009182,0,229500.0,-1256,1,0,0,0,1,1
343,5009183,0,229500.0,-1256,1,0,0,0,1,1
345,5009186,0,270000.0,-5792,1,1,1,0,0,0
346,5009187,0,270000.0,-5792,1,1,1,0,0,0
347,5009188,0,270000.0,-5792,1,1,1,0,1,0
348,5009189,0,270000.0,-5792,1,1,1,0,1,0
349,5009190,0,270000.0,-5792,1,1,1,0,1,0
351,5009192,0,270000.0,-5792,1,1,1,0,1,0
356,5009201,0,292500.0,-8684,1,1,1,0,0,0
357,5009202,0,292500.0,-8684,1,1,1,0,0,0
359,5009204,0,292500.0,-8684,1,1,1,0,0,0
360,5009205,0,292500.0,-8684,1,1,1,0,1,0
361,5009206,0,292500.0,-8684,1,1,1,0,1,0
363,5009208,0,292500.0,-8684,1,1,1,0,1,0
364,5009209,0,292500.0,-8684,1,1,1,0,0,0
368,5009213,0,270000.0,-860,1,1,1,0,1,0
369,5009215,0,270000.0,-860,1,1,1,0,1,0
370,5009216,0,270000.0,-860,1,1,1,0,1,0
371,5009217,0,270000.0,-860,1,1,1,0,1,0
374,5009220,0,225000.0,-798,1,1,0,0,1,0
377,5009224,0,225000.0,-798,1,1,0,0,1,0
379,5009226,0,225000.0,-798,1,1,0,0,1,0
380,5009227,0,225000.0,-798,1,1,0,0,0,0
381,5009232,0,225000.0,-798,1,1,0,0,1,0
383,5009234,0,225000.0,-798,1,1,0,0,1,0
384,5009236,0,225000.0,-798,1,1,0,0,0,0
389,5009239,0,157500.0,-982,1,0,1,0,1,1
391,5009241,0,157500.0,-982,1,0,1,0,1,1
393,5009242,0,74250.0,-5243,1,0,1,0,1,0
394,5009243,0,74250.0,-5243,1,0,1,0,1,0
395,5009244,0,74250.0,-5243,1,0,1,0,1,0
396,5009246,0,135000.0,-2139,1,0,1,0,1,0
398,5009248,0,135000.0,-2139,1,0,1,0,1,0
399,5009249,1,135000.0,-921,1,1,0,0,1,1
400,5009250,1,135000.0,-921,1,1,0,0,1,1
401,5009251,1,135000.0,-921,1,1,0,0,1,1
402,5009252,1,135000.0,-921,1,1,0,0,1,1
403,5009253,1,135000.0,-921,1,1,0,0,1,1
405,5009255,0,144000.0,-8987,1,0,0,0,0,0
408,5009260,0,202500.0,-1287,1,0,1,0,1,0
410,5009262,0,202500.0,-1287,1,0,1,0,1,0
411,5009263,0,202500.0,-1287,1,0,1,0,1,0
415,5009266,0,337500.0,-1652,1,1,1,0,1,1
416,5009267,0,337500.0,-1652,1,1,1,0,1,1
417,5009268,0,337500.0,-1652,1,1,1,0,1,1
418,5009269,0,337500.0,-1652,1,1,1,0,1,1
419,5009270,0,180000.0,-2443,1,0,1,0,0,1
421,5009272,0,180000.0,-2443,1,0,1,0,1,1
423,5009275,0,180000.0,-2443,1,0,1,0,1,1
424,5009276,0,180000.0,-2443,1,0,1,0,0,1
426,5009278,0,130500.0,-4816,1,0,1,0,1,0
428,5009280,0,130500.0,-4816,1,0,1,0,1,0
429,5009281,0,130500.0,-4816,1,0,1,0,1,0
430,5009284,0,130500.0,-4816,1,0,1,0,1,0
433,5009287,0,130500.0,-4816,1,0,1,0,0,0
434,5009289,0,130500.0,-4816,1,0,1,0,1,0
435,5009290,0,130500.0,-4816,1,0,1,0,1,0
437,5009292,0,130500.0,-4816,1,0,1,0,1,0
438,5009293,0,130500.0,-4816,1,0,1,0,1,0
439,5009294,0,130500.0,-4816,1,0,1,0,1,0
440,5009295,0,144000.0,365243,1,0,1,0,1,0
441,5009296,0,144000.0,365243,1,0,1,0,0,0
442,5009297,0,193500.0,-1866,1,0,1,0,0,0
443,5009299,0,193500.0,-1866,1,0,1,0,1,0
444,5009300,0,193500.0,-1866,1,0,1,0,1,0
445,5009301,0,193500.0,-1866,1,0,1,0,1,0
447,5009302,0,112500.0,365243,1,0,0,0,1,0
449,5009304,0,112500.0,365243,1,0,0,0,1,0
450,5009305,0,112500.0,365243,1,0,0,0,0,0
452,5009307,0,135000.0,365243,1,0,1,1,1,0
453,5009308,0,135000.0,365243,1,0,1,1,1,0
454,5009309,0,135000.0,365243,1,0,1,1,1,0
458,5009313,0,135000.0,365243,1,0,1,1,0,0
459,5009314,0,135000.0,365243,1,0,1,1,0,0
460,5009315,0,135000.0,365243,1,0,1,1,0,0
461,5009316,0,135000.0,365243,1,0,1,1,1,0
464,5009319,0,135000.0,365243,1,0,1,1,1,0
465,5009325,0,267750.0,-4727,1,0,1,0,1,1
469,5009330,0,267750.0,-4727,1,0,1,0,1,1
473,5009335,0,139500.0,-7100,1,0,0,0,0,0
477,5009338,0,67500.0,-5304,1,1,1,0,0,1
482,5009343,0,252000.0,-2443,1,0,0,0,1,1
483,5009344,0,252000.0,-2443,1,0,0,0,0,1
484,5009345,0,252000.0,-2443,1,0,0,0,1,1
485,5009346,0,252000.0,-2443,1,0,0,0,0,1
486,5009349,0,180000.0,-130,1,0,1,0,1,1
487,5009354,0,180000.0,-130,1,0,1,0,1,1
490,5009355,0,135000.0,-5273,1,1,1,0,0,0
491,5009358,0,135000.0,-5273,1,1,1,0,1,0
492,5009359,0,900000.0,-7404,1,0,0,0,1,0
493,5009360,0,900000.0,-7404,1,0,0,0,0,0
495,5009362,0,180000.0,-586,1,1,0,0,0,1
496,5009363,0,180000.0,-586,1,1,0,0,1,1
497,5009364,0,180000.0,-586,1,1,0,0,0,1
498,5009365,0,180000.0,-586,1,1,0,0,1,1
499,5009366,0,180000.0,-586,1,1,0,0,1,1
500,5009367,0,180000.0,-586,1,1,0,0,1,1
503,5009370,0,115290.0,365243,1,0,1,1,0,1
506,5009373,0,115290.0,365243,1,0,1,1,1,1
509,5009378,2,225000.0,-1744,1,1,0,1,1,0
514,5009381,1,135000.0,-1195,1,1,0,0,1,1
517,5009383,0,450000.0,-5578,1,0,1,0,1,0
518,5009384,0,450000.0,-5578,1,0,1,0,1,0
519,5009386,0,450000.0,-5578,1,0,1,0,1,0
520,5009387,0,450000.0,-5578,1,0,1,0,0,0
522,5009391,0,279000.0,-3174,1,0,0,0,0,1
524,5009393,0,279000.0,-3174,1,0,0,0,1,1
525,5009394,0,279000.0,-3174,1,0,0,0,0,1
526,5009395,0,279000.0,-3174,1,0,0,0,0,1
529,5009396,1,76500.0,-495,1,1,0,0,1,0
530,5009397,1,76500.0,-495,1,1,0,0,1,0
532,5009399,1,76500.0,-495,1,1,0,0,1,0
533,5009400,1,76500.0,-495,1,1,0,0,1,0
534,5009401,1,76500.0,-495,1,1,0,0,1,0
535,5009402,0,202500.0,-252,1,1,1,0,1,1
536,5009403,0,202500.0,-252,1,1,1,0,1,1
537,5009404,2,67500.0,-433,1,0,1,0,0,0
539,5009405,0,234000.0,-2290,1,1,1,0,1,1
540,5009406,0,234000.0,-2290,1,1,1,0,1,1
541,5009408,0,234000.0,-2290,1,1,1,0,1,1
542,5009410,0,234000.0,-2290,1,1,1,0,1,1
543,5112901,0,234000.0,-2290,1,1,1,0,1,1
544,5009415,0,90000.0,-464,1,1,1,0,0,0
545,5009416,0,90000.0,-464,1,1,1,0,0,0
546,5009417,0,90000.0,-464,1,1,1,0,0,0
547,5009418,0,90000.0,-464,1,1,1,0,0,0
549,5009420,0,90000.0,-464,1,1,1,0,1,0
553,5009423,0,81000.0,-1013,1,0,0,0,1,0
555,5009425,0,108000.0,-1317,1,1,0,0,1,1
556,5009426,0,99000.0,365243,1,0,0,0,0,1
557,5009427,0,99000.0,365243,1,0,0,0,0,1
558,5009428,0,198000.0,-1164,1,1,0,0,0,1
559,5009429,0,198000.0,-1164,1,1,0,0,0,1
560,5009431,0,360000.0,-1195,1,1,1,0,1,1
562,5009435,0,135000.0,365243,1,0,1,0,1,0
563,5090746,0,135000.0,365243,1,0,1,0,1,0
564,5009436,0,76500.0,365243,1,0,0,0,1,0
565,5009437,0,76500.0,365243,1,0,0,0,0,0
569,5009441,0,90000.0,-1682,1,0,1,0,1,0
571,5009443,0,90000.0,-1682,1,0,1,0,0,0
572,5009444,0,90000.0,-1682,1,0,1,0,1,0
574,5009445,0,270000.0,-739,1,1,0,0,1,0
576,5009447,0,81000.0,-3386,1,1,0,0,1,1
577,5009448,0,81000.0,-3386,1,1,0,0,1,1
580,5009451,0,202500.0,-1348,1,0,1,0,1,0
581,5009452,0,202500.0,-1348,1,0,1,0,1,0
583,5009454,0,202500.0,-1348,1,0,1,0,1,0
585,5009456,0,202500.0,-1348,1,0,1,0,1,0
586,5009457,0,202500.0,-1348,1,0,1,0,1,0
587,5009458,0,202500.0,-1348,1,0,1,0,1,0
591,5009460,0,157500.0,-9870,1,1,1,0,0,0
592,5009465,0,157500.0,-9870,1,1,1,0,1,0
594,5009468,0,157500.0,-9870,1,1,1,0,1,0
595,5009469,0,157500.0,-9870,1,1,1,0,0,0
596,5009470,0,157500.0,-9870,1,1,1,0,1,0
597,5009471,0,157500.0,-9870,1,1,1,0,1,0
598,5009472,0,157500.0,-9870,1,1,1,0,1,0
601,5009481,0,180000.0,-4451,1,0,1,0,0,0
606,5009485,0,135000.0,-798,1,0,0,0,1,0
608,5009487,2,135000.0,-2870,1,0,0,0,1,0
609,5009488,2,135000.0,-2870,1,0,0,0,1,0
610,5009489,2,135000.0,-2870,1,0,0,0,1,0
611,5009490,0,135000.0,-6218,1,1,1,0,1,1
612,5009492,0,135000.0,-6218,1,1,1,0,1,1
614,5009493,0,270000.0,-1164,1,1,0,1,1,1
616,5009495,0,270000.0,-1164,1,1,0,1,1,1
618,5009498,0,270000.0,-1164,1,1,0,1,0,1
619,5009499,0,270000.0,-1164,1,1,0,1,1,1
620,5009500,0,270000.0,-1164,1,1,0,1,1,1
621,5009501,0,270000.0,-1164,1,1,0,1,0,1
623,5009503,0,270000.0,-1164,1,1,0,1,1,1
625,5009507,0,202500.0,-4939,1,0,1,0,0,0
626,5009508,0,202500.0,-4939,1,0,1,0,1,0
627,5009509,0,202500.0,-4939,1,0,1,0,1,0
630,5009512,0,157500.0,-2687,1,0,0,0,1,0
633,5009516,0,157500.0,-2687,1,0,0,0,1,0
634,5009517,0,157500.0,-2687,1,0,0,0,1,0
637,5009518,2,180000.0,-2170,1,1,0,0,0,1
641,5009523,1,112500.0,-1135,1,1,0,0,0,1
643,5009526,0,157500.0,-982,1,0,1,0,1,0
646,5009530,0,157500.0,-982,1,0,1,0,1,0
647,5009531,0,157500.0,-982,1,0,1,0,1,0
649,5009534,0,157500.0,-982,1,0,1,0,1,0
650,5009535,0,157500.0,-982,1,0,1,0,1,0
653,5009536,0,216000.0,-890,1,1,0,0,1,1
654,5009537,0,202500.0,-1744,1,1,1,0,1,0
655,5009540,0,202500.0,-1744,1,1,1,0,1,0
656,5009541,0,202500.0,-1744,1,1,1,0,1,0
659,5009545,0,198000.0,-9748,1,0,0,0,0,0
660,5009546,0,198000.0,-9748,1,0,0,0,1,0
661,5009548,0,198000.0,-9748,1,0,0,0,1,0
662,5009551,0,198000.0,-9748,1,0,0,0,0,0
664,5009554,0,198000.0,-9748,1,0,0,0,1,0
665,5009555,0,198000.0,-9748,1,0,0,0,0,0
666,5009556,0,198000.0,-9748,1,0,0,0,0,0
667,5009557,0,198000.0,-9748,1,0,0,0,0,0
669,5009559,0,198000.0,-9748,1,0,0,0,1,0
670,5009560,0,198000.0,-9748,1,0,0,0,0,0
673,5009563,0,157500.0,365243,1,0,1,0,0,0
674,5009564,0,157500.0,365243,1,0,1,0,1,0
676,5009565,0,180000.0,-3143,1,1,1,0,1,1
677,5009566,0,180000.0,-3143,1,1,1,0,1,1
679,5009568,0,180000.0,-3143,1,1,1,0,1,1
680,5009569,0,180000.0,-3143,1,1,1,0,1,1
681,5009570,0,180000.0,-3143,1,1,1,0,1,1
682,5009571,0,180000.0,-3143,1,1,1,0,1,1
683,5009572,0,180000.0,-3143,1,1,1,0,1,1
684,5009573,0,180000.0,-3143,1,1,1,0,1,1
685,5009574,0,180000.0,-3143,1,1,1,0,1,1
686,5009575,0,315000.0,-798,1,0,0,0,1,0
687,5009576,0,315000.0,-798,1,0,0,0,1,0
689,5009577,0,112500.0,365243,1,0,0,0,1,0
691,5009579,0,112500.0,365243,1,0,0,0,0,0
693,5009581,0,112500.0,365243,1,0,0,0,1,0
695,5009583,0,90000.0,-678,1,0,0,0,1,0
696,5009584,0,90000.0,-678,1,0,0,0,1,0
697,5009585,0,45000.0,-798,1,0,1,0,1,0
698,5009586,0,45000.0,-798,1,0,1,0,0,0
699,5009590,0,225000.0,-1835,1,0,1,0,0,0
703,5009593,0,144000.0,-890,1,1,1,0,1,0
704,5009594,0,144000.0,-890,1,1,1,0,0,0
705,5009595,0,144000.0,-890,1,1,1,0,1,0
707,5009599,0,144000.0,-890,1,1,1,0,1,0
708,5009600,0,144000.0,-890,1,1,1,0,1,0
709,5009602,0,315000.0,-2748,1,1,1,0,1,0
711,5009603,1,112500.0,-3720,1,1,0,0,0,0
712,5009605,1,112500.0,-3720,1,1,0,0,0,0
714,5009607,2,144000.0,-982,1,1,1,0,1,0
715,5009608,2,144000.0,-982,1,1,1,0,1,0
717,5009610,2,144000.0,-982,1,1,1,0,0,0
718,5009611,2,144000.0,-982,1,1,1,0,1,0
719,5009612,2,144000.0,-982,1,1,1,0,1,0
720,5009613,2,144000.0,-982,1,1,1,0,1,0
721,5009614,2,144000.0,-982,1,1,1,0,0,0
724,5009618,0,225000.0,365243,1,0,0,0,1,1
726,5009620,0,135000.0,-99,1,1,0,0,1,1
727,5009622,0,135000.0,-99,1,1,0,0,1,1
728,5009623,0,135000.0,-99,1,1,0,0,1,1
729,5009624,0,135000.0,-99,1,1,0,0,0,1
731,5009627,0,238500.0,-3296,1,1,0,0,1,0
732,5009628,0,238500.0,-3296,1,1,0,0,1,0
736,5009631,0,112500.0,-2047,1,0,1,0,1,0
739,5009633,1,144000.0,-283,1,1,0,0,1,1
740,5009634,1,144000.0,-283,1,1,0,0,0,1
741,5009636,0,90000.0,365243,1,0,1,0,1,0
742,5009637,0,90000.0,365243,1,0,1,0,1,0
743,5009638,0,90000.0,365243,1,0,1,0,1,0
744,5009639,0,90000.0,365243,1,0,1,0,1,0
745,5009642,0,202500.0,-921,1,1,0,0,0,1
746,5009643,0,202500.0,-921,1,1,0,0,0,1
747,5009646,0,117000.0,-3661,1,1,0,0,1,1
748,5009647,0,117000.0,-3661,1,1,0,0,1,1
752,5009651,0,135000.0,-10936,1,0,1,0,1,0
753,5009653,0,135000.0,-10936,1,0,1,0,0,0
754,5009654,0,135000.0,-10936,1,0,1,0,1,0
755,5009655,0,135000.0,-10936,1,0,1,0,0,0
756,5009656,0,135000.0,-10936,1,0,1,0,1,0
757,5009657,0,135000.0,-10936,1,0,1,0,0,0
758,5009658,0,135000.0,-10936,1,0,1,0,1,0
760,5009660,0,225000.0,-1774,1,1,0,0,1,1
761,5009661,0,225000.0,-1774,1,1,0,0,1,1
762,5009662,0,225000.0,-1774,1,1,0,0,1,1
763,5009663,0,225000.0,-1774,1,1,0,0,1,1
764,5009664,0,126000.0,365243,1,0,0,0,1,0
765,5009665,0,126000.0,365243,1,0,0,0,1,0
766,5009666,0,126000.0,365243,1,0,0,0,1,0
770,5009671,0,135000.0,-433,1,1,0,0,0,0
771,5009672,0,135000.0,-433,1,1,0,0,0,0
772,5009673,0,90000.0,365243,1,0,1,0,1,0
774,5009675,0,90000.0,365243,1,0,1,0,1,0
775,5009676,0,90000.0,365243,1,0,1,0,1,0
776,5009677,0,90000.0,365243,1,0,1,0,1,0
778,5009680,0,90000.0,365243,1,0,1,0,1,0
781,5009683,0,90000.0,365243,1,0,1,0,1,0
783,5009685,0,90000.0,365243,1,0,1,0,1,0
784,5009686,0,90000.0,365243,1,0,1,0,1,0
785,5009687,0,90000.0,365243,1,0,1,0,1,0
788,5009690,0,153000.0,365243,1,0,1,0,1,0
789,5009691,0,153000.0,365243,1,0,1,0,1,0
790,5009693,0,153000.0,365243,1,0,1,0,1,0
793,5009695,0,1350000.0,-1560,1,0,1,1,0,1
794,5009698,0,1350000.0,-1560,1,0,1,1,1,1
796,5009700,0,1350000.0,-1560,1,0,1,1,1,1
799,5009701,0,139500.0,365243,1,0,0,0,0,0
800,5009702,0,139500.0,365243,1,0,0,0,0,0
801,5009703,0,139500.0,365243,1,0,0,0,1,0
802,5009704,0,139500.0,365243,1,0,0,0,1,0
803,5009705,0,139500.0,365243,1,0,0,0,1,0
804,5009706,0,157500.0,-344,1,0,0,0,0,0
805,5009707,0,157500.0,-344,1,0,0,0,0,0
806,5009709,0,157500.0,-344,1,0,0,0,1,0
808,5009711,0,135000.0,-433,1,1,1,0,1,0
